TXS 0506+056,-10.8,120.1,16.4,1.6,14.8,2.0,4.0,8.1,1.3,1.0,41.9,44.6,99.4
3HSP J111706.2+20140,-11.3,5.3,16.4,3.2,4.1,1.6,4.9,7.2,1.3,1.4,42.6,45.9,65.6
3HSP J203057.1+19361,-11.5,71.7,15.8,0.8,24.5,1.6,4.4,8.1,1.6,0.9,40.0,43.3,38.4
VOU J150720-370902,-11.6,9.9,16.2,8.1,4.6,1.0,4.0,7.9,1.6,1.4,42.3,44.6,110.5
3HSP J064933.6-31392,-11.6,8.8,16.3,2.3,18.6,1.9,5.2,7.3,1.3,1.5,41.2,44.8,111.8
5BZB J2227+0037,-11.7,44.7,16.5,0.2,31.6,2.7,4.1,7.9,2.1,1.7,41.3,45.0,92.8
5BZB J1314+2348,-11.7,37.8,15.8,1.9,23.4,1.8,3.7,8.2,1.7,1.7,40.9,44.0,44.0
3HSP J034424.9+34301,-11.7,47.2,16.0,1.3,14.8,1.8,4.1,7.9,1.6,1.0,40.0,44.0,244.6
3HSP J153311.2+18542,-11.8,6.2,15.8,3.1,9.1,1.7,5.4,6.9,1.4,1.1,41.5,45.2,33.6
3HSP J155424.1+20112,-11.9,4.4,16.1,6.3,4.1,1.6,5.3,7.2,1.2,1.3,42.5,45.6,38.3
3HSP J094620.2+01045,-12.0,3.7,15.2,10.0,14.5,–,5.2,6.7,1.4,1.4,41.2,45.4,60.5
3HSP J095507.9+35510,-12.0,46.6,16.1,0.2,24.5,–,6.7,7.5,1.9,1.0,40.8,45.2,54.1
3HSP J023248.5+20171,-12.0,110.9,15.7,0.1,31.6,–,6.5,7.8,2.2,1.6,40.3,44.4,57.6
3HSP J100326.6+02045,-12.1,9.4,16.3,3.2,28.2,2.1,4.0,7.2,1.5,2.0,39.4,44.1,91.6
3HSP J213314.3+25285,-12.1,12.4,16.1,0.6,14.8,2.3,4.0,7.2,1.8,1.6,40.7,45.1,57.9
3HSP J152835.7+20042,-12.1,11.9,15.2,3.2,16.2,1.6,5.8,7.0,1.6,1.0,40.5,44.6,18.1
3HSP J062753.3-15195,-12.1,3.9,15.7,4.7,5.1,–,5.2,7.1,1.4,1.5,42.6,45.2,141.8
CRATESJ180812+350104,-12.2,23.3,16.3,1.4,9.1,1.7,4.1,7.8,1.4,1.6,41.7,44.3,24.0
VOU J105603-180929,-12.3,41.5,16.6,1.0,31.6,2.1,4.1,7.7,1.7,1.1,39.6,42.9,64.3
3HSP J085410.1+27542,-12.3,172.9,15.6,0.0,35.5,–,4.8,7.9,1.3,1.2,40.5,45.1,57.2
5BZB J1322+3216,-12.5,25.9,15.7,4.9,6.5,1.6,4.5,7.9,1.6,1.3,42.6,44.6,29.9
3HSP J203031.6+22343,-12.5,17.3,15.9,0.4,14.5,2.8,5.0,7.3,1.9,1.2,41.1,45.2,116.4
3HSP J222329.5+01022,-12.5,11.1,15.9,0.8,31.6,2.5,4.7,6.9,2.4,1.2,40.4,44.2,208.3
VOU J022411+161500,-12.5,5.7,16.3,0.5,6.5,1.7,3.8,7.3,1.2,1.3,42.3,45.5,48.9
CRATESJ232625+011147,-12.5,45.9,16.2,1.1,11.0,2.4,4.6,8.1,1.9,1.4,42.6,45.1,76.5
5BZU J0158+0101,-12.6,15.2,16.6,0.8,5.0,1.4,3.9,8.1,2.0,1.6,42.8,44.5,59.5
CRATESJ024445+132002,-12.6,40.4,16.3,4.3,24.5,1.4,6.3,8.5,2.4,1.5,40.8,42.2,61.7
3HSP J023927.2+13273,-12.7,16.1,15.1,3.4,18.6,1.3,3.9,8.3,1.6,2.0,40.6,43.9,45.0
3HSP J180849.7+35204,-12.7,57.6,15.0,0.7,24.5,–,4.2,7.3,2.4,1.1,39.9,44.6,126.2
3HSP J112405.3+20455,-12.8,2.9,15.4,7.1,18.6,1.3,4.2,6.4,1.6,1.5,40.7,43.6,191.0
3HSP J112503.6+21430,-12.8,6.4,16.3,0.9,8.5,1.9,5.7,7.5,2.0,2.0,42.1,45.8,66.8
3HSP J125848.0-04474,-12.8,18.1,16.3,0.2,15.8,–,6.0,7.2,2.0,1.2,41.4,44.9,43.5
3HSP J130008.5+17553,-12.8,20.6,15.4,5.8,5.0,1.4,4.3,7.9,1.6,1.4,42.7,44.4,44.3
3HSP J125821.5+21235,-13.6,2.1,15.4,4.7,18.6,1.2,4.7,6.0,1.3,1.0,40.1,42.6,84.5
Sample mean,-12.2,16.2,15.9,2.6,16.8,1.8,4.7,7.5,1.7,1.4,41.2,44.5,-

#Sample spread (max-min),2.7,1.9,1.6,10.0,31.4,1.7,3.0,2.5,1.2,1.1,3.4,3.7,-
#Average model uncertainty,0.4,<0.1,0.2,0.2,0.3,0.1,0.3,<0.1,<0.1,0.1,0.1,0.3,-



# This file is table E.1 from Rodrigues et al. (2024), https://arxiv.org/pdf/2406.06667
